City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Cape Town,-33.9258,18.4232,293.71,77,20,5.66,ZA,1612403565
Oddur,4.1213,43.8894,290.76,95,28,6.18,SO,1612404032
Padang,-0.9492,100.3543,300.15,83,40,0.51,ID,1612404039
Ancud,-41.8697,-73.8203,288.15,77,0,2.57,CL,1612404040
San Cristobal,7.7669,-72.225,292.95,76,59,0.61,VE,1612403790
San Patricio,28.017,-97.5169,292.15,77,75,8.23,US,1612404040
Almora,29.6167,79.6667,277.71,66,87,1.01,IN,1612404041
Henties Bay,-22.116,14.2845,292.04,86,100,2.84,NA,1612404041
Grindavik,63.8424,-22.4338,275.15,75,0,11.83,IS,1612404041
Norman Wells,65.282,-126.8329,235.15,67,75,2.06,CA,1612404041
Narsaq,60.9167,-46.05,263.15,44,54,1.54,GL,1612404042
Sørland,67.667,12.6934,274.97,80,70,11.4,NO,1612404042
Cherskiy,68.75,161.3,258.37,79,46,4.01,RU,1612404042
Fukuechō,32.6881,128.8419,283.15,76,75,5.66,JP,1612404042
Takoradze,4.8845,-1.7554,299.53,86,0,3.04,GH,1612404043
Farmington,36.7281,-108.2187,285.15,43,75,8.23,US,1612404043
Estrela,-28.0611,-50.9383,293.08,96,100,1.0,BR,1612404043
Tiksi,71.6872,128.8694,241.11,85,98,1.3,RU,1612404044
Fort Saint James,54.4333,-124.25,260.36,94,100,1.42,CA,1612403810
Harper,4.375,-7.7169,298.95,89,0,3.45,LR,1612404044
Tura,25.5198,90.2201,290.7,52,0,0.92,IN,1612404044
Auki,-8.7676,160.7034,299.68,84,100,4.39,SB,1612403752
Black River,18.0264,-77.8487,297.04,73,75,3.09,JM,1612404045
Puerto Ayora,-0.7393,-90.3518,297.59,95,19,3.7,EC,1612404046
Taltal,-25.4,-70.4833,291.79,72,47,1.55,CL,1612404046
Amahai,-3.3333,128.9167,303.64,61,100,1.37,ID,1612404046
Saint George,37.1041,-113.5841,289.15,29,1,5.66,US,1612403480
Ribeira Grande,38.5167,-28.7,286.04,65,97,13.06,PT,1612404047
Berbera,10.4396,45.0143,294.76,62,41,2.28,SO,1612404047
Ushuaia,-54.8,-68.3,284.15,62,75,3.6,AR,1612403980
Poum,-20.2333,164.0167,300.12,79,21,7.35,NC,1612404047
Altenstadt,50.2833,8.95,282.04,83,100,3.58,DE,1612404048
Kangaatsiaq,68.3065,-53.4641,253.45,86,90,4.42,GL,1612404048
Bethel,41.3712,-73.414,272.15,69,90,2.06,US,1612404014
Cayenne,4.9333,-52.3333,300.15,83,90,5.14,GF,1612404049
Beringovskiy,63.05,179.3167,256.51,92,100,7.82,RU,1612404049
Cidreira,-30.1811,-50.2056,297.69,94,100,3.59,BR,1612404049
Yar-Sale,66.8333,70.8333,252.01,91,98,4.79,RU,1612404049
Saint Paul Harbor,57.79,-152.4072,274.15,75,1,1.07,US,1612404050
Banda Aceh,5.5577,95.3222,300.22,74,1,6.57,ID,1612403941
Kaeo,-35.1,173.7833,296.28,58,31,3.89,NZ,1612404050
Yellowknife,62.456,-114.3525,245.37,76,90,3.09,CA,1612404006
Copiapó,-27.3667,-70.3333,288.15,88,0,5.66,CL,1612404008
Lüderitz,-26.6481,15.1594,291.59,72,0,6.26,NA,1612403780
Baculin,7.4525,126.5842,301.23,70,78,3.37,PH,1612404051
Butaritari,3.0707,172.7902,300.66,83,67,6.79,KI,1612404051
Mossamedes,-15.1961,12.1522,294.52,76,54,3.87,AO,1612403994
Quatre Cocos,-20.2078,57.7625,299.15,83,40,1.54,MU,1612404052
Hilo,19.7297,-155.09,300.15,57,40,7.2,US,1612404052
Gemena,3.25,19.7667,298.07,65,73,1.08,CD,1612404052
Hong Kong,22.2855,114.1577,293.71,46,0,4.02,HK,1612404007
Kavieng,-2.5744,150.7967,302.63,66,9,3.05,PG,1612404053
Port Elizabeth,-33.918,25.5701,293.15,88,0,4.12,ZA,1612404015
Tuktoyaktuk,69.4541,-133.0374,232.15,66,20,3.09,CA,1612404054
Lakes Entrance,-37.8811,147.981,300.93,58,100,2.24,AU,1612404054
East London,-33.0153,27.9116,295.82,84,46,7.43,ZA,1612404054
Demba,-5.51,22.2667,293.7,94,100,1.41,CD,1612404054
Bredasdorp,-34.5322,20.0403,289.15,88,47,2.06,ZA,1612404055
Yulara,-25.2406,130.9889,304.15,42,100,4.63,AU,1612404055
Grand Gaube,-20.0064,57.6608,297.59,86,0,1.34,MU,1612404030
Nishihara,26.1842,127.7558,292.15,48,40,3.6,JP,1612404056
Linqing,36.8456,115.7117,278.9,49,100,6.67,CN,1612404056
Half Moon Bay,37.4636,-122.4286,285.15,87,1,2.06,US,1612404056
Cabo San Lucas,22.8909,-109.9124,295.15,64,20,3.09,MX,1612404057
Thompson,55.7435,-97.8558,254.15,78,90,5.14,CA,1612404009
Provideniya,64.3833,-173.3,251.39,82,69,6.48,RU,1612404057
Miandrivazo,-19.5167,45.4667,299.85,74,34,1.72,MG,1612403880
Prosvet,55.5703,65.0825,257.63,94,26,0.95,RU,1612404058
Shitkino,56.3703,98.3543,264.18,95,100,4.53,RU,1612404058
Nikolskoye,59.7035,30.7861,264.26,85,90,7.0,RU,1612404058
Sydney Mines,46.2367,-60.2177,279.26,100,90,3.6,CA,1612404059
Salé,34.0389,-6.8166,285.93,100,44,1.54,MA,1612403925
Kamloops,50.6665,-120.3192,273.15,69,75,2.06,CA,1612403639
Dunedin,-45.8742,170.5036,286.48,67,0,7.6,NZ,1612404059
Bubaque,11.2833,-15.8333,298.62,67,68,6.58,GW,1612404013
Ambilobe,-13.2,49.05,296.64,90,91,1.0,MG,1612404060
Saint-Philippe,-21.3585,55.7679,297.59,73,0,2.06,RE,1612404060
Visby,57.6409,18.296,270.37,86,90,1.54,SE,1612403822
Coyhaique,-45.5752,-72.0662,295.15,56,0,1.54,CL,1612404061
Ngunguru,-35.6167,174.5,293.78,72,1,4.37,NZ,1612404061
Clyde River,70.4692,-68.5914,244.15,83,90,2.57,CA,1612403799
Bambous Virieux,-20.3428,57.7575,299.15,83,40,1.54,MU,1612404062
Laguna,38.421,-121.4238,285.15,66,90,1.54,US,1612404062
Mackay,-21.15,149.2,302.15,70,11,7.72,AU,1612404063
Strezhevoy,60.7333,77.5889,261.15,92,90,2.0,RU,1612403781
Nekā,36.6508,53.299,283.1,53,90,1.04,IR,1612404063
Batasan,12.7667,120.7833,301.47,61,77,2.68,PH,1612404063
Tasiilaq,65.6145,-37.6368,266.75,95,84,5.21,GL,1612404064
Manche,49.0,-1.1667,277.15,93,0,4.12,FR,1612404064
Huron,41.1501,-82.5499,267.04,82,0,2.94,US,1612404064
Carnarvon,-24.8667,113.6333,301.15,100,90,12.35,AU,1612404064
Bahía Blanca,-38.7196,-62.2724,292.05,66,0,4.03,AR,1612404065
Krasnokamensk,50.0979,118.0369,249.8,89,99,0.94,RU,1612404065
Cururupu,-1.8283,-44.8683,298.04,88,29,1.97,BR,1612403940
Alice Springs,-23.7,133.8833,309.82,15,0,8.75,AU,1612404066
Aklavik,68.2191,-135.0107,234.15,74,21,1.03,CA,1612404066
Nizhnyaya Omka,55.4338,74.9426,256.82,93,0,3.67,RU,1612404066
Touros,-5.1989,-35.4608,299.15,83,40,2.57,BR,1612404066
Lufilufi,-13.8745,-171.5986,302.15,84,75,2.57,WS,1612404067
Moroni,-11.7022,43.2551,299.91,71,64,0.3,KM,1612404067
Bengkulu,-3.8004,102.2655,301.22,70,85,2.03,ID,1612404067
Okhotsk,59.3833,143.3,250.17,82,100,10.73,RU,1612404067
Kirakira,-10.4544,161.9205,299.71,81,100,7.55,SB,1612403833
Cabo Rojo,18.0866,-67.1457,298.15,87,24,1.84,PR,1612404068
Nanortalik,60.1432,-45.2371,264.06,83,33,6.96,GL,1612404068
Vallenar,-28.5708,-70.7581,292.68,51,0,0.99,CL,1612404068
Kabinda,-6.1333,24.4833,292.17,97,100,1.83,CD,1612404069
New Norfolk,-42.7826,147.0587,295.93,68,20,2.57,AU,1612404069
Ust-Nera,64.5667,143.2,246.96,80,100,1.99,RU,1612403782
Barrow,71.2906,-156.7887,241.15,68,1,6.69,US,1612404069
Turaif,31.6725,38.6637,284.15,62,75,6.17,SA,1612404070
Boffa,10.1667,-14.0333,294.16,88,0,1.0,GN,1612404070
Port Moresby,-9.4431,147.1797,304.15,70,40,7.72,PG,1612404070
Vao,-22.6667,167.4833,299.09,87,19,8.47,NC,1612404071
Honiara,-9.4333,159.95,299.1,81,100,1.46,SB,1612404047
Shache,38.4167,77.2406,268.68,88,0,0.84,CN,1612404071
Chokurdakh,70.6333,147.9167,256.41,93,98,5.22,RU,1612404071
Geraldton,-28.7667,114.6,297.15,50,75,11.83,AU,1612404072
Pitanga,-24.7572,-51.7614,293.27,91,100,1.08,BR,1612404072
Salalah,17.0151,54.0924,291.15,52,0,2.57,OM,1612403873
Dikson,73.5069,80.5464,248.87,91,85,5.14,RU,1612404072
Kaitangata,-46.2817,169.8464,287.04,63,0,4.92,NZ,1612404073
Giresun Province,40.5,38.5,283.15,66,75,0.51,TR,1612404073
Tsimmerbude,54.675,20.1347,271.15,80,90,8.0,RU,1612404073
Kapaa,22.0752,-159.319,296.15,68,40,3.6,US,1612404073
Coquimbo,-29.9533,-71.3436,288.15,88,40,4.63,CL,1612403912
Sarāhan,31.5167,77.8,273.31,76,100,3.89,IN,1612404074
Sisophon,13.5859,102.9737,298.44,49,2,3.11,KH,1612404075
Yuli,9.6989,10.2744,294.37,21,68,3.33,NG,1612404075
Haverfordwest,51.8017,-4.9691,281.15,93,74,8.23,GB,1612404075
Arman',59.7,150.1667,256.44,82,98,9.21,RU,1612404076
Bathsheba,13.2167,-59.5167,299.15,69,40,11.32,BB,1612404076
Lavrentiya,65.5833,-171.0,246.26,84,8,6.19,RU,1612404076
Bitung,1.4451,125.1824,300.15,78,75,4.63,ID,1612404077
Ballitoville,-29.539,31.2144,296.48,88,0,0.51,ZA,1612404077
Omboué,-1.5746,9.2618,298.76,87,100,2.07,GA,1612404077
Killarney,52.05,-9.5167,280.83,91,100,4.73,IE,1612404006
Avanigadda,16.0215,80.9181,293.15,88,2,2.62,IN,1612403832
Guánica,17.9716,-66.908,297.04,80,1,2.86,PR,1612404078
Nybro,56.7446,15.9071,270.37,93,40,4.63,SE,1612404078
Oranjemund,-28.55,16.4333,289.43,94,25,3.14,NA,1612404078
Alofi,-19.0595,-169.9187,300.15,89,90,4.12,NU,1612404078
Lorengau,-2.0226,147.2712,301.69,70,100,1.52,PG,1612404079
Te Anau,-45.4167,167.7167,292.14,42,2,0.54,NZ,1612404079
Rexburg,43.826,-111.7897,271.15,80,90,3.6,US,1612404017
Mount Isa,-20.7333,139.5,307.15,40,40,5.66,AU,1612404046
Mar del Plata,-38.0023,-57.5575,292.59,82,20,4.12,AR,1612404080
Bānswāda,18.3833,77.8833,289.28,39,100,2.46,IN,1612404080
Krasnyy Yar,46.5331,48.3456,272.15,100,89,3.0,RU,1612404080
St. George's,12.0564,-61.7485,300.15,78,20,9.26,GD,1612404080
La Palma,33.8464,-118.0467,289.15,100,75,2.06,US,1612404081
Gogrial,8.5332,28.1004,297.31,26,0,0.35,SS,1612404081
Askarovo,53.3372,58.5089,268.15,100,90,3.0,RU,1612404081
Frankfort,-27.2667,28.4833,287.78,95,97,0.33,ZA,1612404081
Manta,-0.95,-80.7333,299.15,83,75,2.57,EC,1612404082
Lahaina,20.8783,-156.6825,294.15,77,75,6.69,US,1612404082
Northam,51.0333,-4.2167,278.71,92,0,2.68,GB,1612404082
Birao,10.2849,22.7882,295.5,22,0,1.24,CF,1612404082
Hithadhoo,-0.6,73.0833,301.32,73,90,3.98,MV,1612404083
Barra Patuca,15.8,-84.2833,295.37,74,3,4.13,HN,1612404083
Port-Gentil,-0.7193,8.7815,300.5,79,100,3.44,GA,1612404083
Tarakan,3.3,117.6333,301.15,83,40,3.09,ID,1612404084
Obo,5.3998,26.4869,295.02,34,25,0.74,CF,1612404084
West Wendover,40.7391,-114.0733,277.15,41,90,5.14,US,1612404084
Tarko-Sale,64.9225,77.785,257.46,95,100,3.32,RU,1612404085
Bambanglipuro,-7.95,110.2833,301.66,68,100,1.4,ID,1612404085
Mahébourg,-20.4081,57.7,299.15,83,40,1.54,MU,1612404085
Matara,5.9485,80.5353,297.56,80,64,3.03,LK,1612404085
Olafsvik,64.8945,-23.7142,275.58,80,100,13.83,IS,1612404086
Waitati,-45.75,170.5667,286.48,67,0,7.6,NZ,1612404086
Verkhnyaya Inta,65.9811,60.3094,258.47,94,98,4.56,RU,1612404086
Pisco,-13.7,-76.2167,295.37,78,0,5.66,PE,1612404087
LaBelle,26.7617,-81.4384,283.15,71,1,2.06,US,1612404087
Shirokiy,49.758,129.523,245.5,84,0,4.05,RU,1612404087
Kutum,14.2,24.6667,288.6,30,0,7.78,SD,1612404087
Vila do Maio,15.1333,-23.2167,294.15,78,0,7.72,CV,1612404088
Kahului,20.8947,-156.47,294.15,73,75,8.23,US,1612404088
Leningradskiy,69.3833,178.4167,241.8,86,77,3.6,RU,1612404088
Coahuayana Viejo,18.7333,-103.6833,297.15,64,40,0.74,MX,1612404088
Lensk,60.7253,114.9278,247.84,86,99,1.37,RU,1612404089
Orlik,52.5178,99.825,263.35,88,97,3.98,RU,1612404089
Chitral,35.8462,71.7858,271.99,56,11,3.29,PK,1612404089
Mount Gambier,-37.8333,140.7667,298.15,36,90,5.66,AU,1612404089
Kathu,7.9178,98.3332,300.15,69,20,6.17,TH,1612404090
Severo-Kuril'sk,50.6789,156.125,261.75,92,100,13.86,RU,1612404090
Itarema,-2.9248,-39.9167,299.66,80,100,6.13,BR,1612404090
Campbell River,50.0163,-125.2446,278.15,81,75,0.62,CA,1612404009
Dmitriyevka,54.75,55.3333,265.15,93,90,1.0,RU,1612404091
Suntar,62.1444,117.6319,244.48,86,100,1.6,RU,1612404091
Christchurch,-43.5333,172.6333,292.04,51,90,6.17,NZ,1612403805
Praia da Vitória,38.7333,-27.0667,284.15,82,40,12.47,PT,1612404092
Mnogovershinnyy,53.9353,139.9242,242.69,81,1,5.13,RU,1612404092
Fuerte Olimpo,-21.0415,-57.8738,298.69,86,85,0.29,PY,1612404093
Arraial do Cabo,-22.9661,-42.0278,298.0,86,0,10.31,BR,1612404093
Khovd,48.0056,91.6419,263.47,82,100,1.63,MN,1612404093
Opunake,-39.4556,173.8583,295.37,72,0,1.34,NZ,1612404093
Juneau,58.3019,-134.4197,269.15,80,90,1.94,US,1612404094
Berlevåg,70.8578,29.0864,271.65,94,100,9.78,NO,1612404094
Turukhansk,65.8167,87.9833,251.8,91,100,1.18,RU,1612404094
Port Hardy,50.6996,-127.4199,278.15,93,90,1.03,CA,1612404000
Pitimbu,-7.4706,-34.8086,298.15,83,20,2.06,BR,1612404095
Port Keats,-14.25,129.55,304.76,65,100,3.42,AU,1612404095
Sittwe,20.15,92.9,290.87,51,0,2.73,MM,1612404095
Siocon,7.7061,122.1353,302.14,68,22,4.96,PH,1612404095
Srandakan,-7.9386,110.2506,301.82,68,100,1.25,ID,1612404096
Cockburn Town,21.4612,-71.1419,295.95,57,52,3.3,TC,1612404096
Virginia Beach,36.8529,-75.978,274.82,69,20,2.57,US,1612403381
Egvekinot,66.3167,-179.1667,240.34,83,11,8.12,RU,1612404096
Vardø,70.3705,31.1107,271.69,93,100,9.76,NO,1612403986
Magadan,59.5667,150.8,258.13,84,61,5.59,RU,1612404097
Kloulklubed,7.0419,134.2556,303.15,70,75,5.14,PW,1612404097
Avera,33.194,-82.5271,276.15,60,1,2.74,US,1612404097
Taveta,-3.3963,37.6736,292.94,84,7,0.5,KE,1612404098
Guerrero Negro,27.9769,-114.0611,290.32,76,98,7.15,MX,1612404098
Massillon,40.7967,-81.5215,266.15,73,1,3.09,US,1612404098
Tarnos,43.5417,-1.4628,288.71,87,0,3.09,FR,1612404098
Paamiut,61.994,-49.6678,260.63,70,0,2.34,GL,1612404098
Kruisfontein,-34.0033,24.7314,292.59,86,38,2.57,ZA,1612404099
Sawai Madhopur,25.9833,76.3667,287.78,44,63,0.46,IN,1612404082
Ambovombe,-25.1667,46.0833,296.04,75,13,1.91,MG,1612404099
Gushi,34.6425,109.5843,279.12,47,64,1.89,CN,1612404100
Dukat,62.55,155.55,251.12,89,100,6.17,RU,1612404100
Conceição do Araguaia,-8.2578,-49.2647,297.37,88,100,1.02,BR,1612404033
Tegul'det,57.3064,88.1667,258.98,95,100,3.06,RU,1612404100
Kavaratti,10.5669,72.642,300.52,63,76,3.24,IN,1612404101
Chigorodó,7.6664,-76.6811,298.15,83,75,3.15,CO,1612404101
Pevek,69.7008,170.3133,251.74,74,0,4.22,RU,1612404101
Kuytun,54.3419,101.5036,265.3,95,100,4.64,RU,1612404101
Pokosnoye,55.5258,101.0536,262.7,93,61,5.01,RU,1612404101
Plettenberg Bay,-34.0527,23.3716,291.46,89,36,1.37,ZA,1612404102
Carutapera,-1.195,-46.02,298.93,85,2,3.17,BR,1612404102
Muroto-misakicho,33.2833,134.15,280.15,49,40,2.06,JP,1612404102
Sawākin,19.1059,37.3321,297.17,75,0,1.24,SD,1612404102
Kovdor,67.5662,30.4758,264.75,97,100,3.81,RU,1612404103
Portland,45.5234,-122.6762,279.82,87,81,0.92,US,1612403798
Luganville,-15.5333,167.1667,303.17,66,100,1.46,VU,1612404108
Aksarka,66.5606,67.7975,251.23,91,93,4.16,RU,1612404097
Rio Grande,-32.035,-52.0986,294.26,95,100,3.13,BR,1612404109
Havelock,34.8791,-76.9013,278.15,42,1,4.12,US,1612404109
Navalmoral de la Mata,39.8916,-5.5406,280.93,94,100,1.34,ES,1612404109
Progreso,21.2833,-89.6667,293.15,60,20,5.14,MX,1612404110
Bungoma,0.5635,34.5606,290.74,58,96,3.17,KE,1612404110
Zhangye,38.9342,100.4517,270.99,65,85,0.72,CN,1612404110
Anáhuac,27.2333,-100.15,297.15,43,20,2.06,MX,1612404111
Lafia,8.4833,8.5167,296.3,19,0,0.93,NG,1612404111
Esim,4.8699,-2.2405,299.35,86,0,2.88,GH,1612404111
Pacific Grove,36.6177,-121.9166,285.15,71,1,3.6,US,1612404112
Buraidah,26.326,43.975,288.15,55,0,1.03,SA,1612404112
Oskarshamn,57.2645,16.4484,266.48,90,100,3.58,SE,1612404112
Trairi,-3.2778,-39.2689,299.54,78,100,5.06,BR,1612404112
Wamba,8.9333,8.6,295.92,19,1,1.85,NG,1612404113
Nouadhibou,20.931,-17.0347,290.9,90,100,7.56,MR,1612404113
Lebu,-37.6167,-73.65,287.5,90,2,5.83,CL,1612404113
Abu Samrah,35.3029,37.1841,283.14,73,100,4.64,SY,1612404113
Bahía Honda,22.9036,-83.1592,290.57,68,0,3.33,CU,1612404114
Kovūr,14.4833,79.9833,294.7,73,100,0.55,IN,1612404114
Shinyanga,-3.6667,33.4333,292.2,85,38,2.1,TZ,1612404114
Klaksvík,62.2266,-6.589,274.15,86,75,4.12,FO,1612404114
Maceió,-9.6658,-35.7353,297.15,88,0,1.54,BR,1612404115
Ahipara,-35.1667,173.1667,295.64,58,3,1.59,NZ,1612404115
Hobyo,5.3505,48.5268,297.36,81,48,7.46,SO,1612404115
Jiuquan,39.7432,98.5174,268.9,68,100,1.43,CN,1612404115
Preobrazheniye,42.9019,133.9064,259.3,77,0,6.14,RU,1612404116
Haines Junction,60.7522,-137.5108,246.15,76,99,0.74,CA,1612404116
Alta Gracia,-31.6529,-64.4283,290.93,94,4,2.14,AR,1612403970
Amazar,53.858,120.875,244.44,78,22,0.85,RU,1612404116
Champerico,14.3,-91.9167,292.04,97,0,2.58,GT,1612404022
Ekhabi,53.5102,142.9671,244.55,79,2,8.17,RU,1612403902
Marawi,7.9986,124.2928,300.93,82,2,1.34,PH,1612404117
Santa Marta,11.2408,-74.199,301.48,67,24,8.05,CO,1612403702
Kakamega,0.2842,34.7523,287.15,62,0,1.54,KE,1612404117
Pundaguitan,6.3711,126.1689,300.57,78,8,6.99,PH,1612404118
Kulykivka,51.3735,31.6466,273.63,96,100,3.83,UA,1612404118
Tallahassee,30.4383,-84.2807,279.26,60,1,1.46,US,1612403975
Saint-Germain-de-Grantham,45.8334,-72.5658,272.04,92,100,0.89,CA,1612404118
Ofakim,31.3141,34.6203,288.15,79,0,4.07,IL,1612404119
São João da Barra,-21.6403,-41.0511,298.33,87,0,7.84,BR,1612404119
Karsun,54.1994,46.9827,272.8,98,100,2.7,RU,1612404119
Sri Aman,1.2376,111.4621,298.15,94,75,0.94,MY,1612404119
Udachny,66.4167,112.4,241.74,84,97,1.28,RU,1612404120
Winton,37.3894,-120.6133,287.15,51,1,6.17,US,1612403865
Tari,12.4086,4.4914,294.83,19,0,5.29,NG,1612404120
Kodinsk,58.6881,99.1844,251.61,90,95,1.16,RU,1612404121
Koumac,-20.5667,164.2833,300.77,76,30,6.12,NC,1612403837
Gallup,35.5281,-108.7426,282.15,71,75,11.83,US,1612404121
La Asuncion,11.0333,-63.8628,298.29,87,84,6.44,VE,1612404121
Labuan,5.2767,115.2417,301.15,89,20,1.03,MY,1612404122
Kushima,31.4583,131.2333,285.15,50,20,6.17,JP,1612404122
Dunmore East,52.1514,-6.9861,282.04,86,95,3.58,IE,1612404122
Port Lincoln,-34.7333,135.8667,289.71,85,100,7.76,AU,1612404122
Skegness,53.1436,0.3363,277.15,100,90,1.54,GB,1612403930
Acapulco de Juárez,16.8634,-99.8901,300.15,74,20,2.06,MX,1612404010
Tarauacá,-8.1614,-70.7656,296.97,89,100,0.84,BR,1612404123
Dāmghān,36.1683,54.348,276.75,68,99,0.4,IR,1612404123
Kholm,59.2667,32.85,265.92,97,100,3.05,RU,1612404123
Anadyr,64.75,177.4833,255.15,71,40,15.0,RU,1612404087
Panyutyne,48.9333,36.2833,276.09,97,78,3.36,UA,1612404124
Arrondissement de Muret,43.3333,1.25,282.15,93,0,1.54,FR,1612404124
Katsuura,35.1333,140.3,284.15,25,20,8.75,JP,1612404124
La Huerta,19.4667,-104.65,298.15,88,1,5.14,MX,1612404125
Yantzaza,-3.8278,-78.7594,293.6,84,6,0.52,EC,1612404125
George Town,5.4112,100.3354,300.15,69,20,2.06,MY,1612403935
Huarmey,-10.0681,-78.1522,294.49,77,79,2.78,PE,1612404125
Tahoua,14.8888,5.2692,292.81,23,0,6.93,NE,1612404126
Andradas,-22.0681,-46.5692,293.2,87,40,1.95,BR,1612403994
Tuatapere,-46.1333,167.6833,291.88,44,0,4.18,NZ,1612404126
Nome,64.5011,-165.4064,254.15,55,1,3.09,US,1612404126
Neuquén,-38.9516,-68.0591,296.15,53,0,3.06,AR,1612404127
Menzel Salem,35.8567,8.4765,284.43,45,99,1.86,TN,1612404127
Broome,42.2506,-75.833,271.48,58,90,7.72,US,1612404127
Norfolk,42.1668,-71.2495,273.15,86,99,3.6,US,1612403457
Westlock,54.1502,-113.8688,248.15,77,99,1.03,CA,1612404081
College,64.8569,-147.8028,252.15,77,90,1.54,US,1612404128
Madingou,-4.1536,13.55,296.2,92,73,0.26,CG,1612404128
Mapiripán,2.8892,-72.1256,297.82,86,99,2.02,CO,1612404129
Karratha,-20.7377,116.8463,302.65,73,6,6.95,AU,1612404129
Hofn,64.2539,-15.2082,272.73,91,61,6.43,IS,1612404129
Shakawe,-18.3667,21.85,292.23,97,100,0.71,BW,1612404129
Markivka,49.5229,39.5705,277.01,97,100,2.9,UA,1612404130
Oktyabr'skiy,54.4815,53.471,268.71,98,100,2.02,RU,1612404130
Ryzdvyany,45.2656,41.8389,284.15,40,0,3.0,RU,1612404130
Astoria,46.1879,-123.8313,279.26,81,1,0.86,US,1612404130
Paita,-5.0892,-81.1144,296.3,76,9,5.06,PE,1612404130
Burnie,-41.0667,145.9167,294.26,68,90,4.47,AU,1612404131
